05/30,19:09:10.917356,2,Potentially Bad Traffic,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67
05/30,19:09:10.918155,2,Potentially Bad Traffic,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67
05/30,19:09:28.472094,2,Potentially Bad Traffic,ET DNS DNS Query to a .tk domain - Likely Hostile,UDP,192.168.88.10,1029,4.2.2.3,53
10/09,06:09:07.402294,1,A Network Trojan was Detected,ET INFO JAVA - Java Archive Download By Vulnerable Client,TCP,46.37.185.21,80,192.168.115.10,1046
06/18,12:13:57.405165,3,Misc activity,ICMP Destination Unreachable Communication Administratively Prohibited,ICMP,88.75.231.254,unspecified,192.168.18.10,unspecified
06/18,12:14:03.527223,3,Misc activity,ICMP Destination Unreachable Port Unreachable,ICMP,79.116.99.247,unspecified,192.168.18.10,unspecified
01/11,17:44:44.913554,2,Potentially Bad Traffic,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67
01/11,17:44:44.914403,2,Potentially Bad Traffic,BAD-TRAFFIC same SRC/DST,UDP,0.0.0.0,68,255.255.255.255,67
01/11,17:45:03.787663,3,Detection of a Network Scan,SCAN UPnP service discover attempt,UDP,192.168.30.10,1034,239.255.255.250,1900
01/11,17:45:06.813110,3,Detection of a Network Scan,SCAN UPnP service discover attempt,UDP,192.168.30.10,1034,239.255.255.250,1900
01/11,17:45:06.778525,2,Potentially Bad Traffic,ET INFO DYNAMIC_DNS HTTP Request to a *.ddns.name Domain,TCP,192.168.30.10,1037,178.208.90.42,80
01/11,17:45:06.780746,2,Potentially Bad Traffic,ET INFO DYNAMIC_DNS HTTP Request to a *.ddns.name Domain,TCP,192.168.30.10,1038,178.208.90.42,80
01/11,17:45:07.269511,1,Potential Corporate Privacy Violation,ET POLICY SSLv3 outbound connection from client vulnerable to POODLE attack,TCP,173.194.75.95,443,192.168.30.10,1042
01/11,17:45:07.269511,1,Potential Corporate Privacy Violation,ET POLICY SSLv3 inbound connection to server vulnerable to POODLE attack,TCP,173.194.75.95,443,192.168.30.10,1042
01/11,17:45:07.183863,2,Potentially Bad Traffic,ET INFO DYNAMIC_DNS HTTP Request to a *.ddns.name Domain,TCP,192.168.30.10,1037,178.208.90.42,80
01/11,17:45:07.413832,3,Misc activity,ET INFO JAVA - ClassID,TCP,178.208.75.222,80,192.168.30.10,1040
01/11,17:45:07.413832,2,Potentially Bad Traffic,ET CURRENT_EVENTS Blackhole Java applet with obfuscated URL Jan 21 2012,TCP,178.208.75.222,80,192.168.30.10,1040
01/11,17:45:07.413832,2,Potentially Bad Traffic,ET CURRENT_EVENTS Blackhole Java applet with obfuscated URL Dec 03 2012,TCP,178.208.75.222,80,192.168.30.10,1040
01/11,17:45:10.032547,3,Detection of a Network Scan,SCAN UPnP service discover attempt,UDP,192.168.30.10,1034,239.255.255.250,1900
01/11,17:45:48.285370,2,Potentially Bad Traffic,ET INFO DYNAMIC_DNS HTTP Request to a *.ddns.name Domain,TCP,192.168.30.10,1038,178.208.90.42,80
01/11,17:45:48.482059,2,Potentially Bad Traffic,ET POLICY Vulnerable Java Version 1.6.x Detected,TCP,192.168.30.10,1049,178.208.75.222,80
01/11,17:45:48.482059,2,Potentially Bad Traffic,ET CURRENT_EVENTS SUSPICIOUS Java Request to ChangeIP Dynamic DNS Domain,TCP,192.168.30.10,1049,178.208.75.222,80
01/11,17:45:48.482059,1,A Network Trojan was Detected,ET CURRENT_EVENTS Possible Blackhole EK Jar Download URI Struct,TCP,192.168.30.10,1049,178.208.75.222,80
01/11,17:45:48.611699,2,Potentially Bad Traffic,ET INFO JAR Size Under 30K Size - Potentially Hostile,TCP,178.208.75.222,80,192.168.30.10,1049
01/11,17:45:48.611699,2,Potentially Bad Traffic,ET INFO Java File Sent With X-Powered By HTTP Header - Common In Exploit Kits,TCP,178.208.75.222,80,192.168.30.10,1049
01/11,17:45:48.611699,1,A Network Trojan was Detected,ET CURRENT_EVENTS Blackhole Java Exploit Recent Jar (4),TCP,178.208.75.222,80,192.168.30.10,1049
01/11,17:45:48.611699,2,Potentially Bad Traffic,ET CURRENT_EVENTS SUSPICIOUS JAR Download by Java UA with non JAR EXT matches various EKs,TCP,178.208.75.222,80,192.168.30.10,1049
01/11,17:45:48.611699,1,A Network Trojan was Detected,ET INFO JAVA - Java Archive Download By Vulnerable Client,TCP,178.208.75.222,80,192.168.30.10,1049
01/11,17:45:49.485642,2,Potentially Bad Traffic,ET POLICY Vulnerable Java Version 1.6.x Detected,TCP,192.168.30.10,1054,178.208.75.222,80
